,ID,Chemical_Name,MinLimit,MaxLimit,Units
609,85123,P,MON,MON,MG/L
610,85123,TKN,,,
611,85123,ORGN,,,
612,85123,AMMONIA,,,
613,85123,INORGN,,,
614,85123,NITRATE,,,
615,85123,PO4,,,
616,85125,N,MON,MON,MG/L
617,85125,P,MON,MON,MG/L
618,85125,TKN,,,
619,85125,ORGN,,,
620,85125,AMMONIA,,,
621,85125,INORGN,,,
622,85125,NITRATE,,,
623,85125,PO4,,,
624,85127,N,MON,MON,MG/L
625,85127,P,MON,MON,MG/L
626,85127,TKN,,,
627,85127,ORGN,,,
628,85127,AMMONIA,,,
629,85127,INORGN,,,
630,85127,NITRATE,,,
631,85127,PO4,,,
632,85128,N,MON,MON,MG/L
633,85128,P,MON,MON,MG/L
634,85128,TKN,,,
635,85128,ORGN,,,
636,85128,AMMONIA,,,
637,85128,INORGN,,,
638,85128,NITRATE,,,
639,85128,PO4,,,
640,85130,N,MON,MON,MG/L
641,85130,P,MON,MON,MG/L
642,85130,TKN,,,
643,85130,ORGN,,,
644,85130,AMMONIA,,,
645,85130,INORGN,,,
646,85130,NITRATE,,,
647,85130,PO4,,,
648,85133,N,MON,MON,MG/L
649,85133,P,MON,MON,MG/L
650,85133,TKN,,,
651,85133,ORGN,,,
652,85133,AMMONIA,3.446712018,11.79138322,KG/DAY
653,85133,INORGN,,,
654,85133,NITRATE,,,
655,85133,PO4,,,
656,85134,N,MON,MON,MG/L
657,85134,P,MON,MON,MG/L
658,85134,TKN,,,
659,85134,ORGN,,,
660,85134,AMMONIA,,,
661,85134,INORGN,,,
662,85134,NITRATE,,,
663,85134,PO4,,,
664,85136,N,2.48501227,2.48501227,MG/L
665,85136,P,MON,MON,MG/L
666,85136,TKN,,,
667,85136,ORGN,,,
668,85136,AMMONIA,,,
669,85136,INORGN,,,
670,85136,NITRATE,,,
671,85136,PO4,,,
672,85139,N,MON,MON,MG/L
673,85139,P,MON,MON,MG/L
674,85139,TKN,,,
675,85139,ORGN,,,
676,85139,AMMONIA,,,
677,85139,INORGN,,,
678,85139,NITRATE,,,
679,85139,PO4,,,
680,85175,N,MON,MON,MG/L
681,85175,P,MON,MON,MG/L
682,85175,TKN,,,
683,85175,ORGN,,,
684,85175,AMMONIA,,,
685,85175,INORGN,,,
686,85175,NITRATE,,,
687,85175,PO4,,,
688,85188,N,MON,MON,MG/L
